Method,Language,Score,Metric
Girrbach (2023),ruc,0.494,Segmentation F1
PolyGloss [multitask],ruc,0.763,Segmentation F1
PolyGloss [concat],ruc,0.772,Segmentation F1
PolyGloss [interleaved],ruc,0.782,Segmentation F1
Separate,arp,0.98,Alignment
Joint,arp,0.999,Alignment
Pipeline,arp,0.998,Alignment
Girrbach (2023),arp,0.998,Alignment
PolyGloss [multitask],arp,0.984,Alignment
PolyGloss [concat],arp,0.996,Alignment
PolyGloss [interleaved],arp,1.0,Alignment
Separate,ddo,0.988,Alignment
Joint,ddo,1.0,Alignment
Pipeline,ddo,0.989,Alignment
Girrbach (2023),ddo,0.998,Alignment
PolyGloss [multitask],ddo,0.995,Alignment
PolyGloss [concat],ddo,0.997,Alignment
PolyGloss [interleaved],ddo,1.0,Alignment
Separate,git,0.65,Alignment
Joint,git,0.996,Alignment
Pipeline,git,0.464,Alignment
Girrbach (2023),git,1.0,Alignment
PolyGloss [multitask],git,0.919,Alignment
PolyGloss [concat],git,0.965,Alignment
PolyGloss [interleaved],git,1.0,Alignment
Separate,usp,0.977,Alignment
Joint,usp,1.0,Alignment
Pipeline,usp,1.0,Alignment
Girrbach (2023),usp,1.0,Alignment
PolyGloss [multitask],usp,0.99,Alignment
PolyGloss [concat],usp,1.0,Alignment
PolyGloss [interleaved],usp,1.0,Alignment
Separate,ain,0.979,Alignment
Joint,ain,1.0,Alignment
Pipeline,ain,0.994,Alignment
Girrbach (2023),ain,0.895,Alignment
PolyGloss [multitask],ain,0.982,Alignment
PolyGloss [concat],ain,0.994,Alignment
PolyGloss [interleaved],ain,1.0,Alignment
Separate,lez,0.885,Alignment
Joint,lez,1.0,Alignment
Pipeline,lez,0.522,Alignment
Girrbach (2023),lez,0.985,Alignment
PolyGloss [multitask],lez,0.973,Alignment
PolyGloss [concat],lez,0.986,Alignment
PolyGloss [interleaved],lez,1.0,Alignment
Separate,ntu,0.907,Alignment
Joint,ntu,1.0,Alignment
Pipeline,ntu,0.785,Alignment
Girrbach (2023),ntu,0.976,Alignment
PolyGloss [multitask],ntu,0.985,Alignment
PolyGloss [concat],ntu,0.995,Alignment
PolyGloss [interleaved],ntu,1.0,Alignment
Separate,nyb,0.963,Alignment
Joint,nyb,1.0,Alignment
Pipeline,nyb,0.914,Alignment
Girrbach (2023),nyb,0.994,Alignment
PolyGloss [multitask],nyb,0.988,Alignment
PolyGloss [concat],nyb,0.999,Alignment
PolyGloss [interleaved],nyb,1.0,Alignment
Separate,ruc,0.904,Alignment
Joint,ruc,0.997,Alignment
Pipeline,ruc,0.713,Alignment
